Review,Sentiment,Aspek
cepat enak muas,POSITIF,pelayanan
enak packaging rapih terima kasih,POSITIF,rasa
enak ga tengik,POSITIF,rasa
yg gosongnyaa,POSITIF,kualitas
enak mede nyaaa,POSITIF,rasa
repeay order sekian kali kardus basah kena hujan untung kacang bungkus dgn bubble wrap,POSITIF,pelayanan
mudah2an enkharus cepat pengirimanya,POSITIF,pelayanan
suka anak2,POSITIF,rasa
maaf ya barang terima,POSITIF,pelayanan
good,POSITIF,pelayanan
mantapppp  sesuai deskripsi,POSITIF,kualitas
jagung bakar nori klop unik,POSITIF,rasa
enak kirim cepat sayang pas goreng patah2 ikan pdhl sdh frezer,POSITIF,kualitas
packing bubble  dus rapi kondisi bandeng aman moga asin pake free ongkir loseller responsif,POSITIF,pelayanan
rekomended pokok,POSITIF,kualitas
mantap rekomended,POSITIF,kualitas
mantap layan produk recommended banget,POSITIF,pelayanan
delivery on time bandeng nikmat sesuai deskripsi,POSITIF,pelayanan
layan ramah packingnya sip deliverynya prima produk top harga yg jangkau recommended banget coba ragu lho,POSITIF,pelayanan
packing baguscepat sampaiini ukasih orgsukses yaa,POSITIF,pelayanan
repeat orderke sekian kalienakkcocokk,POSITIF,rasa
ownernya ramah responya cepat packagingnya super duper rapih barang good quality repeat order sukses mbak cantik,POSITIF,pelayanan
lumayan enak tp mahal banding dg harga,POSITIF,rasa
ownernya ramah packaging ok repeat order thankyou,POSITIF,pelayanan
ownernya ramah responya cepat packaging kirim ok thankyou amut utk servicenya repeat order,POSITIF,pelayanan
seller ramah responsif bantu komunikasi nya enak packing rapi kirim cepat repeat order sih,POSITIF,pelayanan
paket siang hr yg kirim suka terima kasih ya,POSITIF,pelayanan
fast respond jual ramah delivery on time thanks,POSITIF,pelayanan
puas banget makasih,POSITIF,pelayanan
enak pemjual responsif ramah bantu kirim cepat pesan sih,POSITIF,rasa
nasi jeruk enakayamnya jugapengiriman cepat,POSITIF,rasa
repeat order sekian kali layan respon toko kualitas makan recommended,POSITIF,pelayanan
best enak banding produk jenis ngga eneg,POSITIF,rasa
deskripsi full baked aman utk bumil udh ksh notes utk dipastiin mateng krna lg hamil salmon msh mentah  bismillah moga gapapa kali tolong dipastiin aja kalo udh mateng,NEGATIF,kualitas
salmon saus mentainya limpah ruah suka kalo lg jakarta pesan ntah kali aga asin,POSITIF,rasa
mantap,POSITIF,kualitas
sdh terima blm dimkn,POSITIF,pelayanan
enakkkk,POSITIF,rasa
enak pesan siang jam 1 jakarta barat jam 6 sore hangat hangat microwave enak asin suka,POSITIF,rasa
enak kimcinya pas tdk pedas,POSITIF,rasa
enakasam nya pas,POSITIF,rasa
enak pas nya samwon resto kenal makan expat korean jktseller responsif bantu ttg produk,POSITIF,rasa
gmna ya kali beli kamren beli 1kg baik2 aja beli stgh kg plastik vakum nya bocor sedih sih air kimchinya ga bikin kimchi jiggae,POSITIF,pelayanan
enak bangattt,POSITIF,rasa
mantabs,POSITIF,kualitas
fresh kimchinya,POSITIF,kualitas
pesan sesuai enak kirim cepat,POSITIF,pelayanan
kayak pait paitnya,POSITIF,rasa
unt krg pedes dikit asemnya dikrgi dkt sy,POSITIF,rasa
barang puas,POSITIF,pelayanan
seng belanja dsiniprofesional bgt,POSITIF,pelayanan
mantap,POSITIF,kualitas
oke,POSITIF,pelayanan
langgan kalo kangen lumpia asli semarang langsung order posisi jakarta kualitas jaga respon cepat terima kasih ya,POSITIF,kualitas
repeat order yg sekian alhamdulillah puas seller jg ramah komunikatif tks ya sukses trs,POSITIF,pelayanan
beli sekian,POSITIF,rasa
enak banget,POSITIF,rasa
kali pesan enak sesuai harga,POSITIF,rasa
moga kualitas,POSITIF,kualitas
order gojek tokped kecewa produk,POSITIF,kualitas
repeat order lumpia nya enak cocok delivery cepat admin nya ramah,POSITIF,pelayanan
obat kangen lumpia semarang josh gandhosss,POSITIF,rasa
tunggu buka puasa coba ya kirim super cepet mantul bgt,POSITIF,pelayanan
masam y ngk kyk ny,POSITIF,rasa
barang oke packing rapih jual responsif,POSITIF,pelayanan
sekian kali order mantap,POSITIF,rasa
enak utk tingkat,POSITIF,rasa
not bad pahit pahit,POSITIF,rasa
enakk euyy,POSITIF,rasa
mantap,POSITIF,rasa
enak suka,POSITIF,rasa
enakkkkk  udah habis order ah,POSITIF,rasa
pas,POSITIF,rasa
dah beli wkwkwkuntuk bikin kimchee jigae gado yummmm,POSITIF,rasa
kimchi nya enak,POSITIF,rasa
langgan,POSITIF,pelayanan
sesuai kirim cepat,POSITIF,pelayanan
sy sangt puas dg psanan kimchi nya  sangt enak  mantap kemas bagus rapi dn dtg wkt kurir nya sopan,POSITIF,pelayanan
packing rapih produk ok,POSITIF,pelayanan
barang sdh terima terima kasih,POSITIF,pelayanan
kirim,POSITIF,pelayanan
ayam afrika-nya enak juicy iklan yg suka potong besar2 potong paha paha paha utuh yg anak sy yg balita suka nagih terima kasih sukses yaa,POSITIF,rasa
ntah udah sen kali ketagihaaannn enak bgttttt sihhh,POSITIF,rasa
daging lebut bumbu yummy,POSITIF,rasa
ayam enaaak empuk bumbu resap banget potong saosnya generous banget pisang manis dessert pisang karbohidrat ganti nasi hehehe packagingnya cantik beli family pack melanin pakai neng deh ga buang sampah plastik terima kasih ya paris jakarta,POSITIF,rasa
cepet jg kirim malam pesan besok sore udh smp jd bs buka puasa ayam sambelnya mantap,POSITIF,pelayanan
ayam empuk wangi saus enak bamget yg saus ijo,POSITIF,rasa
packaging bagus enak tp warna kartu gelap tulis bahan kertas kartu jg sulit tulis tp overall bagus,POSITIF,pelayanan
brownies nya enakkk bgt lembut chewy asa dark chocolate jg jd ga cm manis doang suka yg kismis packing aman sentosa lucu bgt design nya beruang pantat wkwkwkterima kasih bearly baker so sorry bawel chat wkwkwk,POSITIF,rasa
temen ga foto alhamdulillah temen suka,POSITIF,rasa
super yummy,POSITIF,rasa
cepet banget kirim kemarin maghrib sen pagi udah sen lumayan hehehe terima kasih bearlybaker,POSITIF,pelayanan
sukaa best in town,POSITIF,kualitas
respon seller cepat kirim cepat thanks,POSITIF,pelayanan
browniesnya enak  respon seller cepat kayak kartu lupa tulis to  from nya tulis jg catat hehe,POSITIF,rasa
pesan yg varian 20pcs tp kirim 10pcs,NEGATIF,pelayanan
order bareng produk 3 box kemas paper bag alhamdulillah aman terima juara banget sea saltnya bikin sensasi asik bgt,POSITIF,rasa
favorit,POSITIF,rasa
enak tp manis enak the diva,POSITIF,rasa
enaaak keponakan suka bgt sampe ga hehehe,POSITIF,rasa
cepet uga,POSITIF,pelayanan
mantep bagus layan  cookies nya jg enaaakkk,POSITIF,pelayanan
ga obat,POSITIF,rasa
enaaakkk,POSITIF,rasa
maaf kasih ulas coba makan sahur ayam enak bumbu resap anak ku suka kirim cepat packing rapi thanks ya,POSITIF,pelayanan
suka makan dr toko enakrasa rumahanmoga2 nambah menu2nya,POSITIF,rasa
mantap,POSITIF,kualitas
order kali top markotop enak bumbu resap daging  ayam pas lunak  recommended,POSITIF,rasa
enak terima kasih,POSITIF,rasa
belanja  puasmasakannya enak semuapacking rapihpengiriman cepatsukses yaterima kasih utk bonus,POSITIF,pelayanan
suka masakan d toko inimasakannya enakcocok ama selera,POSITIF,rasa
puasmohon tahan ya,POSITIF,kualitas
ayam goreng enak bumbu serundeng laos krg byk,POSITIF,rasa
2nd purchase,POSITIF,rasa
enak kering kentang nya fresh sip deh pokok,POSITIF,rasa
kemas pecah,POSITIF,kualitas
barang sdh dg,POSITIF,pelayanan
cepat bersih protekted,POSITIF,pelayanan
lmyn manis2 gt tp kentang lmyn garing n gurih thanks seller,POSITIF,rasa
emas kirim cepat tahana yaa,POSITIF,pelayanan
makan oke enakmungkin khusus packing msh lbh perhati ya td buka paket nya wadah kripiknya hancur,POSITIF,rasa
kirim lumayan cepat utk kota medan packing kualitas recommended seller terimakasih,POSITIF,pelayanan
pesan cpt emas rapi mudah2an enak,POSITIF,pelayanan
sip sesuai,POSITIF,kualitas
mantapud belanja dsni 2 x,POSITIF,kualitas
kirim cepaaatsatu pagi 2 sekalikualitas produk enaakmasih,POSITIF,pelayanan
mantap,POSITIF,kualitas
enak nya emas rapi,POSITIF,rasa
enak,POSITIF,rasa
brg sesuai deskripsithx gan,POSITIF,pelayanan
enak lgi kl pedas,POSITIF,rasa
kimchinya enak segarcocok damping makan,POSITIF,rasa
puas belanja kirim cepat,POSITIF,pelayanan
packaging rapih barang sesuai kirim lumayan lokasi next moga,POSITIF,pelayanan
seller responsif kimchi original benar2 kecutttt bangetttt,POSITIF,rasa
tipe asam kecut manis keluarga yg abet rumah cocok terima kasih,POSITIF,rasa
wenak tenan,POSITIF,rasa
kirim cepat pesan siang kirim besok pagi tuju sore,POSITIF,pelayanan
sayang kemas kimchinya letus tekan gas nya kirim yg lg sdh letus untung keburu duluan jd basah packaging,POSITIF,pelayanan
the best kimchi enakkk ori nya enak manis enak pingin cobain pedas hihihiii mantul,POSITIF,rasa
seller ramah fast respon packing rapi kualitas produk kirim cepat,POSITIF,pelayanan
terima kasih barang terima kondisi bagus,POSITIF,pelayanan
enakkk,POSITIF,rasa
kirim cepat enak,POSITIF,pelayanan
recommended,POSITIF,rasa
enak kirim cepat terimakasih seller,POSITIF,pelayanan
respon proses kirim cepat,POSITIF,pelayanan
enak kering kentang nya fresh sip deh pokok,POSITIF,rasa
kemas pecah,POSITIF,pelayanan
barang sdh dg,POSITIF,pelayanan
cepat bersih protekted,POSITIF,pelayanan
lmyn manis2 gt tp kentang lmyn garing n gurih thanks seller,POSITIF,rasa
emas kirim cepat tahana yaa,POSITIF,pelayanan
makan oke enakmungkin khusus packing msh lbh perhati ya td buka paket nya wadah kripiknya hancur,POSITIF,rasa
kirim lumayan cepat utk kota medan packing kualitas recommended seller terimakasih,POSITIF,pelayanan
packaging aman barang lengkap kemas bagus kirim cepat order yaa,POSITIF,pelayanan
puas packingan aman sayang kecewa kerja ekspedisi anter aja tokopedia jasa anter aja next day pesan tanggal 24 track ktnya tggl 25 jam 8 pagi buyer apapaket tanggal 27 tanggal 25 telfon cs anter aja responnya bantu lapor ya kak oke ditgg tanggal 26 dtg jg telfon cs nya yg tanggal 27 pagi telfon dgn maki krn sy pesawat makassar siang sore telfon cs 3 kali komplain yg jam 11 paket puas ekspedisi anter aja beli jasa next day yg trburu,POSITIF,pelayanan
mantab,POSITIF,kualitas
kemas trims,POSITIF,pelayanan
uenak tenan,POSITIF,rasa
makasih seller,POSITIF,pelayanan
mantap emas kirim cepet terimakasih sellee shopee,POSITIF,pelayanan
biar bintang yg bicara pokok mantap deh,POSITIF,pelayanan
enak banget enak green tea recommend banget,POSITIF,rasa
oke packaging bocor,POSITIF,rasa
enak mantap,POSITIF,rasa
surprisingly enak banget kimchinya ngga pedas asemnya pas lengkap isi yummy,POSITIF,rasa
enak kimchinya asem pedesnya sopan ndak seger cocok lidah lokal ndak pahit sperti kimchi kemas swalayan kebanyakankemasan bagus box plastik pecah salah ekspedisi handle paket ndak kimchinya aman ndak tumpahoverall oke puas blanjanya seller ramah produk enak sukses lapak juragan mimin,POSITIF,rasa
cepet banget ngirimnya order malam pagi udah enakm pedesnya pas ga asem ending ga pahit suka campur masakan camil,POSITIF,rasa
kirim cepat kimchi nya enak makas sisss,POSITIF,rasa
enak recommendedkwalitas bagus,POSITIF,rasa
good langgan,POSITIF,kualitas
the package was proper wrapped and the taste was really good i will order it again for sure,POSITIF,rasa
udah nama ngga kecewa toko jaga layan yah,POSITIF,pelayanan
cepat paking rapi cm teri segar ya,POSITIF,kualitas
kirim lmaa,POSITIF,pelayanan
kirim cepat sesuai pesan recommended seller,POSITIF,pelayanan
kirim cepat muas,POSITIF,pelayanan
barang terima sesuai pesan,POSITIF,pelayanan
makasssssiiihhhh enak abiz teri brasa oven ndak eneg minyak mantab dah,POSITIF,rasa
suka anak lanang beli deh,POSITIF,rasa
beli 3 kali,POSITIF,kualitas
beli 2 enak bangettt,POSITIF,rasa
like usual special bu rudy,POSITIF,rasa
barang terima sesuai pesan,POSITIF,pelayanan
teri nya ga melempem udah minggu pedas dikit,POSITIF,kualitas
barang terima sesuai pesan,POSITIF,pelayanan
produk sesuai kirim lumayan cepat rapi,POSITIF,pelayanan
enak sesuai pesan,POSITIF,rasa
packing bagus tuju teri gurih enak bener,POSITIF,pelayanan
kurir nya ramah barang cepat barang nya sesuai pesan yg pesan warna biru kirim warna pink,NEGATIF,pelayanan
emas aman kirim cepat bandeng fresh,POSITIF,pelayanan
barang cepat enak,POSITIF,pelayanan
response seller proses delivery cepat pesan terima kondisi sesuai order,POSITIF,pelayanan
overall ikan enak manis gurih pedas pas buka lendir panas dikirimpengiriman 1 minggu styrofoam rusak,POSITIF,kualitas
mantul jual ramah fast respon,POSITIF,pelayanan
mantul sesuai pesananthanks ya gan,POSITIF,rasa
respon chat  packing terima kasih,POSITIF,pelayanan
sesuai deskripsi lapak super responsif profesional,POSITIF,pelayanan
beresssss cepat mantap dendeng nya tebal empukmantaaaaaapppp,POSITIF,rasa
packing rapi kirim cepat sdh bbrp kali beli enakkkkkkkterimakasih pakgbu,POSITIF,pelayanan
mantap cepat  thank u,POSITIF,pelayanan
terimakasih enakkkkkkkpacking rapipengiriman cepatsdh beli sekian kalinyatuhan yesus memberkatiamin,POSITIF,rasa
enak buangettttt sipp deh pokoke,POSITIF,rasa
dendeng sapi nya sesuai pesan,POSITIF,rasa
puas sdh beli sekian kali packing rapih cepat pokok mantul deh terima kasih seller selamat natal tuhan yesus kati amin,POSITIF,pelayanan
packing rapi kirim cepat enak,POSITIF,pelayanan
langgan enakkkkk packing rapih makasih ya tuhan yesus kati sukses,POSITIF,kualitas
expired nya lumayan cepet ya kas juli 2021 moga keburu apek juli habis anak kos konsumsi,POSITIF,kualitas
cepat diprosesnyaterinya enak yg original tp lbh enak lg yg balado,POSITIF,rasa
cepat diprosesnyaterinya enak yg original tp lbh enak lg yg balado,POSITIF,rasa
mantap,POSITIF,kualitas
udah kasih terang original rumput lauttp yg bbq,POSITIF,pelayanan
sedap ikan nya,POSITIF,rasa
paket terima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,POSITIF,rasa
paket terima dg baiikk sellau pesan d krn senang orgtua trmksh ya kak sukses dn byk langgan nya,POSITIF,pelayanan
paket terima dg paking dg kardus tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses,POSITIF,pelayanan
enak dateng udah dicemil in,POSITIF,rasa
yg sy suka barang fresh beli langsung resto nya bs liat fresh,POSITIF,kualitas
kering ya tempe kemas ga label bu rudy gambar,POSITIF,pelayanan
proses ya ready,NEGATIF,pelayanan
good product good seller,POSITIF,pelayanan
maaf aga keras yabumbunya krg brasa tks,POSITIF,rasa
kirim cepat packing rapi,POSITIF,pelayanan
sampenya cepet rapi bom dicobain,POSITIF,pelayanan
bau amis,NEGATIF,rasa
barang terima sesuai photo  pesan packing ckp rapi  aman cepat nyampe nya jg makasih seller,POSITIF,pelayanan
enak suka ikan,POSITIF,rasa
enakkkk,POSITIF,rasa
enak kali beli lagitrimakasih gan,POSITIF,rasa
cocok semuanyathx ya,POSITIF,pelayanan
pas d lidah,POSITIF,rasa
favorite,POSITIF,rasa
cpt bgt sampe nya gaada 1 jam uda sampe suka bgt salad nyaa,POSITIF,pelayanan
mantap enak banget langsung abis,POSITIF,rasa
enak saladnyacreamy kuahnyaseller ramahsampainya jg waktuthx alot yaanak sy suka salad nya,POSITIF,rasa
suuuukkkkaaaaa,POSITIF,rasa
mantulll  langgan beli salad,POSITIF,rasa
akurattpatent service excellence ciamik,POSITIF,pelayanan
enak banget nyesel beli makasih ya kak bikin salad buah enak,POSITIF,rasa
gk sempet foto dah keburu habis,POSITIF,rasa
mantulll promonya ya gak promo tetep mantul karna enak,POSITIF,rasa
mantaaaappppp uwenaaakkk,POSITIF,rasa
pesan keju spesial yg kirim coklat keju,POSITIF,pelayanan
produk ok kali serah barang kurir malam terima molor 1,POSITIF,pelayanan
alhamdulillahsampai sblm buka puasa mksh kartika sari,POSITIF,pelayanan
barang sampe kirim ya lumayan terimakasih,POSITIF,pelayanan
enak neh psg molennya packing rapi  thks yah,POSITIF,rasa
packingnya mantap sih,POSITIF,pelayanan
barang terima sesuai pesan thanks,POSITIF,pelayanan
mantul,POSITIF,rasa
enak beli langsung seller nya,POSITIF,rasa
pesan makasih seller kurir sicepat,POSITIF,pelayanan
favorite istri kirim hampers ramadhan suka,POSITIF,rasa
ya ampunnn enak pake bngettt sambel ny enakkkk,POSITIF,rasa
kirim cepat se-asia tenggara terima kasih,POSITIF,pelayanan
udh bbrp kali beli sei nya enak bgt order kali kali nih,POSITIF,rasa
langsung cobain enak mantapsambelnya jos,POSITIF,rasa
maha dahsyat wagyu beda kelas sapi,POSITIF,rasa
enak banget,POSITIF,rasa
nice perfectobarang d terima baikrespon cepat kirim cepat layan cepat ramahbuat agan2 yg pokok gak ragu deh boss yg inidijamin memuaskanterima kasih sukses bossque,POSITIF,rasa
tq brg cpt nyampe enak,POSITIF,pelayanan
lumayan enak sayang nggak free ongkir bs next day 2 pesan,POSITIF,rasa
alhamdulillah buka puasa,POSITIF,pelayanan
puassssssssssssss kirim pacar krn pacar suka bangettt,POSITIF,rasa
mantap pisang,POSITIF,rasa
emas bagus pesan jumat jd kirim senin sabtu libur jd selasa malam,POSITIF,pelayanan
alhamdulillaah paket sdh terima kasih,POSITIF,pelayanan
enak beli langsung sellernya,POSITIF,rasa
enak n segar,POSITIF,rasa
fresh berat pas banget buka puasa,POSITIF,kualitas
respon cepat sesuai pesan,POSITIF,pelayanan
enak  suka saladnya makasih yaa,POSITIF,rasa
enk,POSITIF,rasa
enaknyaaa,POSITIF,rasa
enak bangeeeet,POSITIF,rasa
enak bgt fresh,POSITIF,rasa
puas bangettt enak porsi bs 5 org bagus kereeen mantul bgtt,POSITIF,rasa
ldr sm kluarga jd kirim tumpeng buka puasa alhamdulillah pd blg makan enak byk sambelny jg mantep thank you yaaa sukses slalu,POSITIF,rasa
enak tampil bagus  terimakazih,POSITIF,rasa
enaaak banget cocok taste,POSITIF,rasa
bagus tumpeng lmyn byk utk porsi 5 org kirim jg ontime,POSITIF,pelayanan
puas porsi enak seller responsive kirim aman thank you,POSITIF,pelayanan
enaaaaak bgt n makasih dh bs ambil order dada bgt highly recommend,POSITIF,rasa
tumpeng nya enax bgtnext psn lgthx,POSITIF,rasa
masakan nya enakhiasan nya cantikharga sesuaigak salah pilih pesan nasi tumpeng makasih ya kak berkah lancar trus amin,POSITIF,rasa
enak porsi kecilpembeli respon ramahkurir ramah jg,POSITIF,rasa
alhamdulillah barang tks seller tokopediaseller nya korporatifgood,POSITIF,pelayanan
sesuai pesan proses cepat terima kasih,POSITIF,pelayanan
seller nya fast respon mantap,POSITIF,pelayanan
neng bgt belanja toko sellernya ramah fast respon bantu nasi briyani nya enak bgt ragu rekomended pokok,POSITIF,pelayanan
sesuai pesananterima kasih,POSITIF,pelayanan
produk bagus sesuai harga,POSITIF,kualitas
produk sesuai etalase harga murah sayang stok kutunyasetelah masak kuatseller responnya bagus ramah,POSITIF,kualitas
good kirim cepat recomended seller,POSITIF,pelayanan
nasi kuning cantik enak,POSITIF,rasa
mantap enak layan super cepat ramah recommened seller terima kasih,POSITIF,pelayanan
enak lezattt terima kasih,POSITIF,rasa
alam belanja online kesan sesuai harap nasi tumpeng pas selera lauk pauk order terima kasih srvis bintang 5 nya,POSITIF,pelayanan
nasi tumpeng selamat cepat enak banget terima kasih timm catering,POSITIF,pelayanan
layan cepat asa belanja online deliverynya sesuai jam acara mantap ludesdes,POSITIF,pelayanan
nasi tumpeng terima terima kasih,POSITIF,pelayanan
nasi tumpeng kualitas lauk komplit ayam goreng kuning sambal ati ampla perkedel urap sayur telur balado orek tempe sambal enakkk pas banget pedesnya,POSITIF,rasa
tata rapih tarik garnishnya kreatif bunga cabe tulis wortel enak wangi gurih lauk pauk pas,POSITIF,rasa
layan cepat transparan selurah puas nasi kuning legit wangi lauk komplit sesuai order,POSITIF,rasa
nasi legit ayam goreng mantap cabe pedes sesuai pesan terima kasih,POSITIF,rasa
nasi kuning mantap sesuai harga laukpauknya lengkap sedap,POSITIF,rasa
terima terima kasih,POSITIF,pelayanan
kirim ontime cocok selera terima kasih,POSITIF,pelayanan
mantap porsi sesuai harga terima kasih,POSITIF,rasa
enak mantap respon ok next klo acara bs order recomended,POSITIF,pelayanan
nasi tumpeng terima terima kasih,POSITIF,pelayanan
kualiatas nya mantap ekpetasi porsi sesuai harga term kasih,POSITIF,kualitas
jual respon cepat sesuai deskripsi recomeneddd terima kasih,POSITIF,pelayanan
manteb pollnasi kuning enak pulen banget urap tahan empal ayam goreng manteb sambal pedas enakresponnya manteb deliverynya pas banget sesuai happy and recommended banget terima kasih blackstone,POSITIF,rasa
2 kali pesan benar2 enak deh,POSITIF,rasa
enak ukur liat tp bikin kenyang,POSITIF,rasa
enak banget lauk pauk enak nasi pulen wangikalo acara keluarga pesan,POSITIF,rasa
mantaappptepat rekomended,POSITIF,pelayanan
nasi lauk enak premium - pakai urap ga kuat sampe sore mgkn bs pilih sayur yg premiumdan hitung ongkirnya krg masuk akal kirim sekolah ongkir 30rb tny kiri rumah 60rb pdhal rumah belah sekolahbuat masuk aja seller,POSITIF,kualitas
tumpeng mini nya enak recommended banget,POSITIF,rasa
nasi kuning cantik n enak lauk mantap,POSITIF,rasa
nasi nya keras lauk enak2 untung order yg premium krn porsi klo overall puas order terima kasih,POSITIF,rasa
porsi pas lauk sumpah enak pake ayam bakar gurih enak bumbu nya asa banget jd langgan ahh,POSITIF,rasa
tumpeng ok bonus pudingnyatks,POSITIF,rasa
trima kasih pesan tuju trima kasih bonus puding moga berkah,POSITIF,rasa
enak banget nasi kuning lauk2nya lalap fresh sellernya ramah order sore bsknya terima,POSITIF,rasa
muas harga murah kualitas biasaditambah bonus puding,POSITIF,kualitas
tumpeng nya ok utk tampil tp sayang janji kirim jam 3 jam 430  pdhl jam kantor jam 4 terima jd hrs nunggu gak pulang utk makan spt sesuai jd hrs perhati,POSITIF,pelayanan
harga segitu masakan ajip mantap anget poko ngak yg puas bgt ud gitu dpt bonus lg puding khusus puasa makasih ya tunggu order berikunya,POSITIF,rasa
suka bgt tumpeng mini trs bonus pudingnyaa terimakasih yaa,POSITIF,rasa
masakan enak seller sayang ga ontime gapapa aman kirim perhati,POSITIF,pelayanan
alhamdulillaah sesuai order kirim on-time menu mantabz maknyooossrecommended dech,POSITIF,pelayanan
