Review,Rating,Aspek,Sentiment
segel rusak karena packing tipis sekali,1,pengiriman,NEGATIF
enak lah pokok,5,rasa,POSITIF
barang terima dgn baik dan cepat terimakasih,5,pengiriman,POSITIF
mantap barang sesuai pesan,5,pengiriman,POSITIF
rasa belum tau karena sampai pagi dan masih puasa tapi proteksi perlu acung jempol moga original bukan kw,5,pengiriman,POSITIF
mantab gan,5,kualitas,POSITIF
barang aslijdi beli dsini ajah gx usah jauhw kemalangthanks seller,5,kualitas,POSITIF
seller ramah dan baikpackaging rapi aman pakai bubble wraprecommended seller ,5,pelayanan,POSITIF
sesuai dengan pesan terimakasih,5,pelayanan,POSITIF
kripiknya bungkus bubble satu satu d dimskkan dus donkthanks seller,5,pelayanan,POSITIF
packing aman pake wrap seller fast response mantap betul,5,pengiriman,POSITIF
sekarang keripik tebal2 dan lebih keras jadi butuh tenaga ekstra untuk gigit beda sama yg dulubtw packingannya super rapi masing2 item bungkus dengan bubble recommended seller ,3,rasa,NETRAL
produk bagus  fast respon  terima kasih,5,kualitas,POSITIF
enak,5,rasa,POSITIF
enak kacang empuk lumayan oke juga dengan harga yang masih jangkau,5,rasa,POSITIF
agak melempem ya,4,kualitas,POSITIF
cepat sampai rasa enak muas,5,pelayanan,POSITIF
enak packaging juga rapih terima kasih,5,rasa,POSITIF
rasa enak ga tengik,5,rasa,POSITIF
ada yg gosongnyaa,4,kualitas,POSITIF
enak mede nyaaa,5,rasa,POSITIF
repeay order sekian kali kardus basah kena hujan untung kacang bungkus dgn bubble wrap,5,pengiriman,POSITIF
mudah2an enkharus cepat pengirimanya,4,pengiriman,POSITIF
suka anak2,5,rasa,POSITIF
maaf ya barang tidak terima,3,pelayanan,NETRAL
good,5,pelayanan,POSITIF
mantapppp  sesuai deskripsi ,5,kualitas,POSITIF
nyata rasa jagung bakar sama nori kurang klop rasa unik,3,rasa,NETRAL
rasa enak kirim cepat sayang pas mau goreng patah2 ikan pdhl sdh dari frezer,4,kualitas,POSITIF
packing dengan bubble  dus sangat rapi sehingga kondisi bandeng aman moga tidak terlalu asin cukup pake free ongkir bisa loseller responsif,5,pelayanan,POSITIF
rekomended pokok,5,kualitas,POSITIF
mantap rekomended,5,kualitas,POSITIF
mantap layan dan produk recommended banget,5,pelayanan,POSITIF
delivery on time bandeng nikmat sesuai deskripsi,5,pelayanan,POSITIF
layan ramah packingnya sip deliverynya prima produk top untuk harga yg jangkau recommended banget yang mau coba jangan ragu betul lho,5,pelayanan,POSITIF
packing baguscepat sampaiini ukasih orgsukses yaa,5,pengiriman,POSITIF
repeat orderke sekian kalienakkcocokk,5,rasa,POSITIF
ownernya ramah dan baik responya cepat packagingnya super duper rapih barang good quality bakal repeat order lagi sukses selalu mbak cantik,5,pelayanan,POSITIF
lumayan enak tp terlalu mahal tidak banding dg harga,3,rasa,NETRAL
ownernya ramah packaging ok bakal repeat order thankyou,5,pelayanan,POSITIF
ownernya ramah responya cepat packaging dan kirim ok thankyou amut utk servicenya bakal repeat order,5,pelayanan,POSITIF
seller ramah responsif sangat bantu jadi komunikasi nya enak packing rapi dan kirim cepat repeat order sih ini ,5,pelayanan,POSITIF
paket sampai siang hr yg kirim kata suka terima kasih ya,5,pengiriman,POSITIF
fast respond jual ramah delivery on time thanks,5,pelayanan,POSITIF
puas banget makasih,5,pelayanan,POSITIF
enak sekali pemjual sangat responsif dan ramah sangat bantu kirim cepat akan pesan lagi sih pasti,5,rasa,POSITIF
nasi jeruk enakayamnya jugapengiriman cepat,5,rasa,POSITIF
repeat order yang sekian kali layan dan respon toko selalu baik kualitas makan dan rasa selalu baik recommended ,5,pelayanan,POSITIF
best paling enak banding produk jenis ngga eneg,5,rasa,POSITIF
di deskripsi full baked aman utk bumil dan udh ksh notes juga utk dipastiin mateng krna lg hamil nyata salmon msh mentah  bismillah moga gapapa lain kali tolong dipastiin aja kalo udh mateng,2,kualitas,NEGATIF
salmon dan saus mentainya limpah ruah suka kalo lg ke jakarta pasti pesan ini tapi ntah kenapa kali ini rasa aga asin,5,rasa,POSITIF
mantap,5,kualitas,POSITIF
sdh terima blm dimkn,5,pengiriman,POSITIF
enakkkk ,5,rasa,POSITIF
enak pesan tadi siang jam 1 sampai jakarta barat jam tengah 6 sore masih hangat tapi saya hangat lagi di microwave makin enak tidak asin suka,5,rasa,POSITIF
enak kimcinya pas rasa tdk terlalu pedas,5,rasa,POSITIF
enakasam nya pas,5,rasa,POSITIF
enak pas rasa nya samwon resto memang kenal tempat makan para expat korean di jktseller responsif sangat bantu ttg produk,5,rasa,POSITIF
gmna ya ini kali dua beli kamren beli yang 1kg baik2 aja ini beli yang stgh kg malah plastik vakum nya bocor sedih sih jadi air kimchinya ga ada padahal mau di bikin kimchi jiggae,4,pengiriman,POSITIF
enak bangattt,5,rasa,POSITIF
mantabs,5,kualitas,POSITIF
fresh kimchinya,5,kualitas,POSITIF
pesan sesuai enak kirim cepat,5,pelayanan,POSITIF
rasa kayak ada pait paitnya,5,rasa,POSITIF
unt rasa krg pedes dikit dan asemnya dikrgi dkt itu turut sy,5,rasa,POSITIF
barang puas,5,pelayanan,POSITIF
seng belanja dsiniprofesional bgt,5,pelayanan,POSITIF
mantap,5,kualitas,POSITIF
oke,5,pelayanan,POSITIF
selalu langgan jadi kalo kangen lumpia asli semarang langsung order sini karena posisi pun di jakarta kualitas sangat jaga respon cepat dan tepat terima kasih banyak ya,5,kualitas,POSITIF
sudah repeat order yg sekian dan alhamdulillah selalu puas seller jg ramah dan komunikatif tks ya sukses trs,5,pelayanan,POSITIF
beli sekian ,5,rasa,POSITIF
rasa enak banget,5,rasa,POSITIF
sudah beberapa kali pesan rasa selalu enak dan sesuai harga,5,rasa,POSITIF
moga kualitas selalu baik,4,kualitas,POSITIF
pernah order di gojek dan di tokped belum pernah kecewa sama produk,5,kualitas,POSITIF
repeat order lumpia nya enak cocok dan delivery cepat admin nya ramah,5,pelayanan,POSITIF
obat rasa kangen lumpia semarang josh gandhosss,5,rasa,POSITIF
tunggu buka puasa baru coba ya kirim super cepet mantul bgt,5,pengiriman,POSITIF
agak masam y ngk kyk biasa ny,3,rasa,NETRAL
barang oke packing rapih jual responsif,5,pelayanan,POSITIF
sekian kali order sini tetap mantap,5,rasa,POSITIF
enak tapi utk rasa perlu tingkat,4,rasa,POSITIF
not bad ada pahit pahit,4,rasa,POSITIF
enakk euyy,5,rasa,POSITIF
mantap seperti biasa lah,5,rasa,POSITIF
enak semua suka,5,rasa,POSITIF
enakkkkk  nanti kalau udah habis order lagi ah,5,rasa,POSITIF
rasa pas,5,rasa,POSITIF
dah sering beli wkwkwkuntuk bikin kimchee jigae dan gado yummmm,5,rasa,POSITIF
kimchi nya enak,5,rasa,POSITIF
sudah langgan,5,pelayanan,POSITIF
rasa sesuai kirim cepat,5,pelayanan,POSITIF
sy sangt puas dg psanan kimchi nya  sangt enak  mantap kemas bagus rapi dn dtg tepat wkt kurir nya sopan,5,pelayanan,POSITIF
packing rapih produk ok,5,pelayanan,POSITIF
barang sdh terima terima kasih,5,pengiriman,POSITIF
kirim tepat waktu,5,pengiriman,POSITIF
ayam afrika-nya enak juicy seperti yang iklan terus yg suka potong besar2 dan semua dapat potong paha baik paha atas atau paha utuh yg besar itu anak sy yg masih balita pun suka jadi nagih terima kasih dan sukses selalu yaa ,5,rasa,POSITIF
ntah udah sen ini berapa kali ketagihaaannn enak bgttttt sihhh,5,rasa,POSITIF
daging lebut dan bumbu asa yummy,5,rasa,POSITIF
ayam enaaak empuk dan bumbu resap banget potong besar besar dan saosnya generous banget tambah pisang manis untuk dessert awal kira pisang untuk karbohidrat ganti nasi nyata bukan hehehe packagingnya juga cantik aku beli family pack dapat tempat dari melanin jadi bisa pakai lagi neng deh jadi ga buang sampah plastik terima kasih ya paris di jakarta,5,rasa,POSITIF
cepet jg kirim malam pesan besok sore udh smp jd bs buat buka puasa ayam besar sekali sambelnya mantap,4,pelayanan,POSITIF
ayam empuk wangi dan saus enak bamget utama yg saus ijo,5,rasa,POSITIF
packaging bagus rasa enak tp warna kartu ucap terlalu gelap jadi tidak lihat kalau tulis bahan kertas kartu ucap jg sulit tulis tp overall bagus kok,4,pelayanan,POSITIF
brownies nya enakkk bgt lembut chewy asa dark chocolate jg jd ga cm manis doang paling suka yg kismis packing aman sentosa dan lucu bgt design nya ada beruang dan pantat wkwkwkterima kasih bearly baker so sorry bawel di chat wkwkwk,5,rasa,POSITIF
karena ini buat temen aku jadi ga punya foto alhamdulillah temen aku suka,5,rasa,POSITIF
super yummy,5,rasa,POSITIF
cepet banget kirim kemarin maghrib baru sen terus pagi ini udah sampai padahal sen lumayan banyak hehehe terima kasih bearlybaker,5,pengiriman,POSITIF
dari dulu sukaa best in town,5,kualitas,POSITIF
respon seller cepat kirim juga cepat thanks,5,pelayanan,POSITIF
browniesnya enak  respon seller cepat cuma kayak kartu lupa tulis to  from nya padahal sudah tulis jg catat hehe,5,rasa,POSITIF
pesan yg varian 20pcs tp cuma kirim 10pcs,1,pelayanan,NEGATIF
order bareng produk lain jadi 3 box di kemas dalam paper bag alhamdulillah aman saat terima rasa juara banget sea saltnya bikin sensasi yang akhir yang asik bgt,5,rasa,POSITIF
paling favorit,5,rasa,POSITIF
enak tp turut saya terlalu manis masih lebih enak the diva,5,rasa,POSITIF
enaaak keponakan saya suka bgt saya sampe ga bagi hehehe,5,rasa,POSITIF
sampai cepet uga,5,pengiriman,POSITIF
mantep dan bagus layan  cookies nya jg enaaakkk,5,pelayanan,POSITIF
ga ada obat,5,rasa,POSITIF
enaaakkk,5,rasa,POSITIF
maaf baru kasih ulas karena baru coba buat makan sahur ayam enak bumbu resap anak ku suka kirim cepat packing rapi thanks ya,5,pelayanan,POSITIF
suka makan dr toko ini enakrasa rumahanmoga2 nambah terus menu2nya,5,rasa,POSITIF
selalu mantap ,5,kualitas,POSITIF
ini order dua kali top markotop enak bumbu resap ke daging  ayam juga pas lunak  recommended,5,rasa,POSITIF
enak terima kasih,5,rasa,POSITIF
sudah sering belanja di sini  selalu puasmasakannya enak semuapacking juga sangat rapihpengiriman cepatsukses terus yaterima kasih utk bonus,5,pelayanan,POSITIF
suka masakan d toko inimasakannya enakcocok ama selera kita,5,rasa,POSITIF
selalu puasmohon tahan ya,5,kualitas,POSITIF
ayam goreng enak tapi bumbu serundeng laos krg byk,5,rasa,POSITIF
2nd purchase,5,rasa,POSITIF
enak kering kentang nya fresh sip deh pokok,5,rasa,POSITIF
kemas pecah,4,kualitas,POSITIF
barang sdh sampai dg baik,5,pengiriman,POSITIF
cepat bersih protekted,5,pengiriman,POSITIF
rasa lmyn manis2 gt tp kentang lmyn garing n gurih thanks seller,5,rasa,POSITIF
emas baik kirim cepat tahana yaa,5,pengiriman,POSITIF
untuk rasa makan sudah oke enakmungkin khusus packing msh perlu lbh perhati ya td saya buka paket nya wadah tempat kripiknya hancur bagi atas dan bawah,5,rasa,POSITIF
kirim lumayan cepat utk sampai kota medan packing baik kualitas baik recommended seller terimakasih,5,pelayanan,POSITIF
pesan cpt sampai emas rapi mudah2an rasa enak,5,pengiriman,POSITIF
sip sesuai,5,kualitas,POSITIF
mantapud belanja dsni 2 x ,5,kualitas,POSITIF
kirim cepaaatsatu hari sampai pagi 2 sekalikualitas produk enaakmasih baru,5,pengiriman,POSITIF
mantap,5,kualitas,POSITIF
enak rasa nya emas rapi,5,rasa,POSITIF
enak,5,rasa,POSITIF
brg sesuai deskripsithx gan,5,pelayanan,POSITIF
lebih enak lgi kl ada rasa pedas,4,rasa,POSITIF
kimchinya enak segarcocok buat damping makan ,5,rasa,POSITIF
puas belanja di sini kirim cepat,5,pengiriman,POSITIF
packaging rapih dan barang sesuai hanya saja kirim lumayan lama padahal lokasi dekat next moga bisa baik ,5,pengiriman,POSITIF
seller responsif kimchi original benar2 kecutttt bangetttt,5,rasa,POSITIF
yang tipe asam kecut tidak manis keluarga ada yg abet di rumah jadi cocok terima kasih,5,rasa,POSITIF
wenak tenan,5,rasa,POSITIF
kirim cepat sekali pesan siang kirim besok pagi dan sampai tuju sore ,5,pengiriman,POSITIF
sayang kemas kimchinya letus karena tekan gas nya saat kirim yg satu lg sdh siap letus untung keburu sampai duluan jd basah semua packaging bagi dalam,4,pengiriman,POSITIF
the best kimchi rasa enakkk ori nya enak yang manis juga enak pingin cobain yang pedas hihihiii mantul,5,rasa,POSITIF
seller ramah fast respon packing rapi kualitas produk baik kirim cepat,5,pelayanan,POSITIF
terima kasih barang telah kami terima dengan kondisi bagus,5,pelayanan,POSITIF
enakkk rasa,5,rasa,POSITIF
kirim cepat rasa enak ,5,pelayanan,POSITIF
recommended ,5,rasa,POSITIF
enak rasa kirim cepat terimakasih seller,5,pelayanan,POSITIF
respon baik proses dan kirim cepat,5,pelayanan,POSITIF
enak kering kentang nya fresh sip deh pokok,5,rasa,POSITIF
kemas pecah,4,pengiriman,POSITIF
barang sdh sampai dg baik,5,pengiriman,POSITIF
cepat bersih protekted,5,pengiriman,POSITIF
rasa lmyn manis2 gt tp kentang lmyn garing n gurih thanks seller,5,rasa,POSITIF
emas baik kirim cepat tahana yaa,5,pengiriman,POSITIF
untuk rasa makan sudah oke enakmungkin khusus packing msh perlu lbh perhati ya td saya buka paket nya wadah tempat kripiknya hancur bagi atas dan bawah,5,rasa,POSITIF
kirim lumayan cepat utk sampai kota medan packing baik kualitas baik recommended seller terimakasih,5,pelayanan,POSITIF
packaging aman barang lengkap kemas bagus kirim juga cepat nanti order lagi yaa,5,pelayanan,POSITIF
puas dengan packingan aman tapi sayang sekali sangat kecewa dengan kerja sama ekspedisi anter aja dengan tokopedia saya guna jasa anter aja next day pesan dari tanggal 24 di track ktnya tggl 25 jam 8 pagi sudah tuju antar ke buyer tapi apapaket baru sampai tanggal 27 itu dari tanggal 25 saya telfon cs anter aja dan responnya hanya saya bantu lapor ya kak oke ditgg tanggal 26 dan belum dtg jg saya telfon lagi ke cs nya dan hanya ucap ucap yg sama tanggal 27 pagi saya telfon lagi dgn ada maki krn sy pesawat saya balik ke makassar itu siang tuju sore saya telfon cs 3 kali dengan komplain yg sama akhir jam 11 paket baru datang tidak puas dengan ekspedisi anter aja beli guna jasa next day karena ada yg trburu,4,pengiriman,POSITIF
mantab,5,kualitas,POSITIF
kemas baik trims,5,pengiriman,POSITIF
uenak tenan ,5,rasa,POSITIF
makasih banyak seller,5,pelayanan,POSITIF
mantap emas dan kirim cepet terimakasih sellee dan shopee,5,pelayanan,POSITIF
biar bintang yg bicara pokok mantap deh,5,pelayanan,POSITIF
enak banget paling enak yang rasa green tea recommend banget,5,rasa,POSITIF
rasa oke packaging agak bocor,4,rasa,POSITIF
enak mantap,5,rasa,POSITIF
surprisingly enak banget kimchinya ngga pedas dan asemnya juga pas lengkap isi yummy,5,rasa,POSITIF
enak kimchinya rasa asem pedesnya sopan ndak lebih seger cocok sama lidah lokal juga ndak ada rasa pahit sperti kimchi kemas di swalayan kebanyakankemasan bagus box plastik pecah mungkin salah di ekspedisi dalam handle paket tapi ndak masalah kok kimchinya aman ndak tumpahoverall oke puas blanjanya seller juga juga ramah produk enak sukses lapak juragan mimin,5,rasa,POSITIF
cepet banget ngirimnya order malam pagi udah datang rasa juga enakm pedesnya pas ga asem juga ending ga pahit suka bisa buat campur masakan atau camil,5,rasa,POSITIF
kirim cepat kimchi nya pun enak makas sisss ,5,rasa,POSITIF
enak recommendedkwalitas bagus,4,rasa,POSITIF
good sudah langgan,5,kualitas,POSITIF
the package was proper wrapped and the taste was really good i will order it again for sure,5,rasa,POSITIF
karena udah nama ngga pernah kecewa toko sangat jaga layan yah luar biasa,5,pelayanan,POSITIF
cepat sampai paking rapi cm satu teri kurang segar ya,5,kualitas,POSITIF
kirim lmaa,3,pengiriman,NETRAL
kirim cepat sesuai pesan recommended seller,5,pelayanan,POSITIF
jika kirim lebih cepat akan sangat muas ,5,pengiriman,POSITIF
barang yang terima sesuai pesan,5,pelayanan,POSITIF
makasssssiiihhhh enak abiz ini teri brasa oven ndak eneg minyak mantab dah ,4,rasa,POSITIF
suka anak lanang selalu beli sini deh,5,rasa,POSITIF
beli ke 3 kali ,5,kualitas,POSITIF
beli ke 2 sini enak bangettt,5,rasa,POSITIF
like usual special bu rudy ,5,rasa,POSITIF
barang yang terima sesuai pesan,5,pelayanan,POSITIF
teri nya ga melempem walau udah minggu kurang pedas dikit,5,kualitas,POSITIF
barang terima sesuai pesan,5,pelayanan,POSITIF
produk sesuai dan kirim lumayan cepat dan rapi,5,pelayanan,POSITIF
enak sesuai pesan,5,rasa,POSITIF
packing sangat bagus sampai di tuju dengan baik teri gurih enak bener,5,pelayanan,POSITIF
kurir nya ramah barang cepat sampai tetapi barang nya tidak sesuai dengan pesan yg saya pesan warna biru yang kirim warna pink,1,pelayanan,NEGATIF
emas aman kirim cepat bandeng tetap fresh,5,pelayanan,POSITIF
barang cepat dan enak,5,pelayanan,POSITIF
response seller baik dan proses delivery cepat pesan sudah terima dalam kondisi baik sesuai order,5,pelayanan,POSITIF
overall ikan enak manis gurih pedas pas ketika buka sedikit lendir mungkin karena panas dan lama waktu dikirimpengiriman agak lama 1 minggu karena ada jadi styrofoam rusak,5,kualitas,POSITIF
rasa mantul jual ramah fast respon,5,pelayanan,POSITIF
mantul sesuai pesananthanks ya gan,5,rasa,POSITIF
respon chat  packing baik terima kasih,5,pelayanan,POSITIF
sesuai deskripsi lapak super responsif dan profesional,5,pelayanan,POSITIF
beresssss cepat mantap dendeng nya tebal tapi empukmantaaaaaapppp,5,rasa,POSITIF
packing selalu rapi kirim juga cepat sdh bbrp kali beli enakkkkkkkterimakasih banyak pakgbu,5,pelayanan,POSITIF
mantap cepat  thank u,5,pengiriman,POSITIF
terimakasih banyak enakkkkkkkpacking rapipengiriman cepatsdh beli sekian kalinyatuhan yesus memberkatiamin,5,rasa,POSITIF
enak buangettttt sipp deh pokoke,5,rasa,POSITIF
dendeng sapi nya sesuai dengan pesan,5,rasa,POSITIF
sangat puas sdh beli ke sekian kali packing sangat rapih sampai sangat cepat pokok mantul deh terima kasih banyak seller selamat natal tuhan yesus kati amin,5,pelayanan,POSITIF
packing sangat rapi kirim cepat dan rasa enak,5,pelayanan,POSITIF
sudah langgan enakkkkk packing rapih makasih banyak ya tuhan yesus kati sukses selalu,5,kualitas,POSITIF
expired nya lumayan cepet ya kas juli 2021 moga belum keburu apek rasa dan belum juli sudah habis soal anak kos jadi konsumsi sendiri,4,kualitas,POSITIF
cepat diprosesnyaterinya juga enak yg original tp lbh enak lg yg balado,5,rasa,POSITIF
cepat diprosesnyaterinya juga enak yg original tp lbh enak lg yg balado,5,rasa,POSITIF
mantap,5,kualitas,POSITIF
udah di kasih terang original dan rumput lauttp yg datang bbq,3,pelayanan,NETRAL
kurang sedap kurang rasa ikan nya,3,rasa,NETRAL
paket terima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5,rasa,POSITIF
paket terima dg baiikk sellau pesan d sini krn senang orgtua trmksh ya kak sukses selalu dn tambah byk langgan nya,5,pelayanan,POSITIF
paket terima dg baik paking dg kardus rasa tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses selalu,5,pelayanan,POSITIF
enak baru dateng udah dicemil in,5,rasa,POSITIF
tidak ada yg buat sy suka barang kurang fresh lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak,4,kualitas,POSITIF
agak terlalu kering ya tempe kemas ga ada label bu rudy seperti di gambar,4,pengiriman,POSITIF
kenapa proses lama ya apa tidak ready,1,pengiriman,NEGATIF
good product good seller,5,pelayanan,POSITIF
maaf aga keras yabumbunya krg brasa tks,3,rasa,NETRAL
kirim cepat packing rapi,5,pengiriman,POSITIF
sampenya cepet dan rapi bom dicobain,5,pengiriman,POSITIF
bau amis,2,rasa,NEGATIF
barang terima sesuai photo  pesan packing ckp rapi  aman cepat nyampe nya jg makasih seller,5,pelayanan,POSITIF
enak suka ikan,5,rasa,POSITIF
enakkkk,5,rasa,POSITIF
enak lain kali beli lagitrimakasih gan,5,rasa,POSITIF
cocok semuanyathx ya,5,pelayanan,POSITIF
rasa pas d lidah,5,rasa,POSITIF
favorite,5,rasa,POSITIF
cpt bgt sampe nya gaada 1 jam uda sampe suka bgt salad nyaa ,5,pelayanan,POSITIF
mantap enak banget langsung abis,5,rasa,POSITIF
enak saladnyacreamy kuahnyaseller ramahsampainya jg tepat waktuthx alot yaanak sy suka salad nya,5,rasa,POSITIF
suuuukkkkaaaaa,5,rasa,POSITIF
mantulll sekali  selalu langgan beli salad sini,5,rasa,POSITIF
akurattpatent service excellence rasa ciamik,5,pelayanan,POSITIF
enak banget nyesel cuma beli satu makasih ya kak sudah bikin salad buah enak,5,rasa,POSITIF
gk sempet foto dah keburu habis,5,rasa,POSITIF
mantulll rasa promonya sering sering juga ya meski gak promo pun tetep mantul karna enak itu,5,rasa,POSITIF
mantaaaappppp uwenaaakkk,5,rasa,POSITIF
pesan keju spesial yg kirim coklat keju,4,pelayanan,POSITIF
produk ok lain kali kalau serah barang ke kurir jangan terlalu malam karena sampai ke terima jadi molor 1 hari,4,pengiriman,POSITIF
alhamdulillahsampai tepat waktu sblm buka puasa mksh kartika sari,5,pengiriman,POSITIF
barang sampe hanya saja kirim agak lama rasa pun ya lumayan lah terimakasih,5,pelayanan,POSITIF
enak neh psg molennya packing rapi  thks yah,5,rasa,POSITIF
packingnya mantap sih,5,pelayanan,POSITIF
barang sudah terima sesuai pesan thanks,5,pelayanan,POSITIF
mantul,5,rasa,POSITIF
rasa enak karena beli langsung dari seller nya,5,rasa,POSITIF
pesan sampai tepat waktu makasih seller dan kurir sicepat ,5,pengiriman,POSITIF
favorite istri kirim buat hampers ramadhan suka semua,5,rasa,POSITIF
ya ampunnn enak pake bngettt sambel ny pun enakkkk,5,rasa,POSITIF
kirim cepat se-asia tenggara terima kasih,5,pengiriman,POSITIF
luar biasa,5,rasa,POSITIF
udh bbrp kali beli sini rasa sei nya enak bgt pasti order kali kali lagi nih,5,rasa,POSITIF
langsung di cobain enak mantapsambelnya jos,5,rasa,POSITIF
maha dahsyat wagyu memang beda kelas dengan sapi biasa,5,rasa,POSITIF
rasa enak banget ,5,rasa,POSITIF
